name,URL,company,company_url,sweet_spot,range
Mario Vázquez,https://signal.nfx.com/investors/mario-vazquez,Ax Ventures,https://signal.nfx.com/firms/ax-ventures,$2.5M,$100K - $5.0M
Diego Noriega,https://signal.nfx.com/investors/diego-noriega,Newtopia VC,https://signal.nfx.com/firms/newtopia-vc,$200K,$100K - $500K
Christopher Donovan,https://signal.nfx.com/investors/christopher-donovan,Outlier Ventures,https://signal.nfx.com/firms/outlier-ventures,$1.5M,$100K - $5.0M
Tim Rule,https://signal.nfx.com/investors/tim-rule_1,Outlier Ventures,https://signal.nfx.com/firms/outlier-ventures,$1.5M,$100K - $5.0M
Daniel Mariussen,https://signal.nfx.com/investors/daniel-mariussen,Dreamcraft,https://signal.nfx.com/firms/dreamcraft,$1.5M,$500K - $2.5M
Carsten Salling,https://signal.nfx.com/investors/carsten-salling,Dreamcraft,https://signal.nfx.com/firms/dreamcraft,$1.5M,$500K - $2.5M
Meredith McPherron,https://signal.nfx.com/investors/meredith-mcpherron,Drive by DraftKings,https://signal.nfx.com/firms/drive-by-draftkings,$1.5M,$100K - $5.0M
Sherrard Harrington,https://signal.nfx.com/investors/sherrard-harrington,EONXI,https://signal.nfx.com/firms/eonxi,$1.1M,$750K - $1.5M
Philip Collins,https://signal.nfx.com/investors/philip-collins,Konvoy Ventures,https://signal.nfx.com/firms/konvoy-ventures,$2.5M,$500K - $5.0M
Luke Alvarez,https://signal.nfx.com/investors/luke-alvarez,Hiro Capital,https://signal.nfx.com/firms/hiro-capital,$1.5M,$100K - $5.0M
Dara Leung,https://signal.nfx.com/investors/dara-leung,London Venture Partners,https://signal.nfx.com/firms/london-venture-partners,$1.5M,$1M - $2.0M
Are Mack Growen,https://signal.nfx.com/investors/are-mack-growen,London Venture Partners,https://signal.nfx.com/firms/london-venture-partners,$1.5M,$1M - $2.0M
David Gardner,https://signal.nfx.com/investors/david-gardner,London Venture Partners,https://signal.nfx.com/firms/london-venture-partners,$1.5M,$1M - $2.0M
Teppei Tsutsui,https://signal.nfx.com/investors/teppei-tsutsui,GFR Fund,https://signal.nfx.com/firms/gfr-fund,$1.5M,$100K - $5.0M
Tim Hayden,https://signal.nfx.com/investors/tim-hayden,Stadia Ventures,https://signal.nfx.com/firms/stadia-ventures,$1.5M,$100K - $5.0M
Art Chou,https://signal.nfx.com/investors/art-chou,Stadia Ventures,https://signal.nfx.com/firms/stadia-ventures,$1.5M,$100K - $5.0M
Cecilia Qvist,https://signal.nfx.com/investors/cecilia-qvist,Lego Ventures,https://signal.nfx.com/firms/lego-ventures,$1.5M,$100K - $5.0M
Francis Berwa,https://signal.nfx.com/investors/francis-berwa,Aves Lair,https://signal.nfx.com/firms/aves-lair,$100K,$25K - $250K
Jeremy Gonske,https://signal.nfx.com/investors/jeremy-gonske,BlocTech Investment Group,https://signal.nfx.com/firms/bloctech-investment-group,$1.5M,$100K - $5.0M
Jeff Becker,https://signal.nfx.com/investors/jeff-becker,Forum Ventures,https://signal.nfx.com/firms/forum-ventures,$1.5M,$100K - $5.0M
Rajan KN,https://signal.nfx.com/investors/rajan-kn,Starterbites Ventures,https://signal.nfx.com/firms/starterbites-ventures,$100K,$50K - $5.0M
George Chapipis,https://signal.nfx.com/investors/george-chapipis,CVX Ventures,https://signal.nfx.com/firms/cvx-ventures,$1.5M,$100K - $5.0M
Michael Dornbrook,https://signal.nfx.com/investors/michael-dornbrook,Speedy Packets Inc.,https://signal.nfx.com/firms/speedy-packets-inc,$1.5M,$100K - $5.0M
Scott Frederick,https://signal.nfx.com/investors/scott-frederick,Sands Capital,https://signal.nfx.com/firms/sands-capital,$1.5M,$100K - $5.0M
Sean Engel,https://signal.nfx.com/investors/sean-engel,Top Tier Capital Partners,https://signal.nfx.com/firms/top-tier-capital-partners,$1.5M,$100K - $5.0M
David York,https://signal.nfx.com/investors/david-york,Top Tier Capital Partners,https://signal.nfx.com/firms/top-tier-capital-partners,$1.5M,$100K - $5.0M
Patrick Bauer,https://signal.nfx.com/investors/team-deftfox,01 Advisors,https://signal.nfx.com/firms/01-advisors,$400K,$200K - $1M
Marc Rayfield,https://signal.nfx.com/investors/marc-rayfield,Darco Capital,https://signal.nfx.com/firms/darco-capital,$1.5M,$100K - $5.0M
Seok Won Hong,https://signal.nfx.com/investors/seok-won-hong,Hashed,https://signal.nfx.com/firms/hashed,$1.5M,$100K - $5.0M
Rich Scudellari,https://signal.nfx.com/investors/rich-scudellari,Penny Jar Capital,https://signal.nfx.com/firms/penny-jar-capital,$1.5M,$100K - $5.0M
Bryant Barr,https://signal.nfx.com/investors/bryant-barr,Penny Jar Capital,https://signal.nfx.com/firms/penny-jar-capital,$1.5M,$100K - $5.0M
Thomas Glocer,https://signal.nfx.com/investors/thomas-glocer,Angelic Ventures,https://signal.nfx.com/firms/angelic-ventures,$1.5M,$100K - $5.0M
Bill Pescatello,https://signal.nfx.com/investors/bill-pescatello,Lightbank,https://signal.nfx.com/firms/lightbank,$1.5M,$100K - $5.0M
Tarun Davda,https://signal.nfx.com/investors/tarun-davda,Matrix Partners India,https://signal.nfx.com/firms/matrix-partners-india,$1.5M,$100K - $5.0M
Avnish Bajaj,https://signal.nfx.com/investors/avnish-bajaj,Matrix Partners India,https://signal.nfx.com/firms/matrix-partners-india,$1.5M,$100K - $5.0M
Andrew Firlik,https://signal.nfx.com/investors/andrew-firlik,Jazz Venture Partners,https://signal.nfx.com/firms/jazz-venture-partners,$1.5M,$100K - $5.0M
Joseph Tiller,https://signal.nfx.com/investors/joseph-tiller,Zone 5 Ventures,https://signal.nfx.com/firms/zone-5-ventures,$1.5M,$100K - $5.0M
Dayo Koleowo,https://signal.nfx.com/investors/dayo-koleowo,Microtraction,https://signal.nfx.com/firms/microtraction,$100K,$100K - $350K
Omar Hakim,https://signal.nfx.com/investors/omar-hakim,Aggie Angel Network,https://signal.nfx.com/firms/aggie-angel-network,$1.5M,$100K - $5.0M
Dave Nemetz,https://signal.nfx.com/investors/dave-nemetz,Reverb Ventures,https://signal.nfx.com/firms/reverb-ventures,$200K,$50K - $300K
